label,text
ham,"Hey, are we still meeting today?"
spam,Congratulations! You've won a free vacation. Call now!
ham,I'll call you later.
spam,Win $1000 cash by entering this contest!
ham,Can we reschedule our meeting?
spam,"Get free ringtones now, click here!"
ham,Where are you?
spam,You have been selected for a free prize!
ham,"I'm at the cafe, coming?"
spam,Act fast to claim your gift!
ham,"Okay, see you at 5."
spam,"You won a lottery, reply to claim."
ham,Please check your email.
spam,Earn money working from home!
ham,Lunch at the usual place?
spam,Exclusive deal just for you!
ham,Need your help with something.
spam,Get your free trial now!
ham,"Got your message, thanks!"
spam,URGENT! Your account will be locked.
ham,Are you coming tomorrow?
spam,You've been chosen to win a smartphone.
ham,I'll be home by 8.
spam,Lowest loan rates available now!
ham,Project deadline is next week.
spam,"Congratulations, you're our lucky winner!"
ham,Letâ€™s catch up soon.
spam,Hurry up! Limited offer ends tonight.
ham,Bring your notebook.
spam,Earn rewards by completing surveys.
ham,Meeting postponed to Friday.
spam,Claim your gift card now!
ham,Did you talk to him?
spam,Don't miss out on this deal!
ham,Mom's cooking dinner today.
spam,FREE entry to the concert this weekend!
ham,Homework is due tomorrow.
spam,Double your income with this method!
ham,Movie tonight?
spam,Click to get your Amazon voucher.
ham,I'll pick you up at 7.
spam,Subscribe to get instant cash!
ham,Watch this funny video!
spam,Buy one get one free offer!
ham,See you at class.
spam,Limited time insurance offer!
ham,Your book is with me.
spam,Win prizes by answering this quiz!
ham,Have a great day!
spam,Get rich quick with no investment!
